AAMU,Alabama A&M
UCLA,UCLA
UCRV,UC Riverside
UCSB,UC Santa Barbara
UGA,Georgia
UIC,Illinois-Chicago
UK,Kentucky
ULL,Lafayette
ULM,Mon
UMASS,Massachusetts
UMBC,UMBC
UMES,Eastern Sh
UMKC,UMKC
UML,UMass Lowell
UNC,North Carolin
UNCA,Ashev
UNCG,NC Greensboro
UNCO,Northern Colorado
UNCW,Wilmi
UND,North Dakota
UNF,North Florida
UNH,New Hampshire
UNI,Northern Iowa
UNLV,UNLV
UNM,New Mexico
UNO,New Orleans
UNT,North Texas
UPST,USC Upst
URI,Rhode Island
USA,South Alabama
USC,USC
USD,San Diego
USF,South Florida
USM,Southern Miss
USU,Utah St
UTA,Arlingt
UTAH,Utah
UTEP,UTEP
UTM,Martin
UTSA,UT
UVA,Virginia
UVM,Vermont
UVU,Utah Valley
VALP,Valparaiso
VAN,Vanderbilt
VAS,Vassar
VCU,Virginia Commonwealt
VMI,Virginia Military
VT,Virginia Tech
W&M,William & Mary
WAG,Wagner
WAKE,Wake Forest
WASH,Washington
WAU,Washington Adventist
WCK,Western St
WCU,Western Carolina
WDF,Waldorf
WEB,Weber St
WEBB,Webb
WES,West Alabama
WICH,Wichita St
WIL,William Jessup
WIN,Winthrop
WIS,Wisconsin
WIU,Western Illin
WKU,Western Kent
WMU,Western Michigan
WOF,Wofford
WRST,Wright St
WSSU,Winston-Salem
WSU,Washington St
WVTU,W. Virginia Tech
WVU,West Virginia
WWN,Warren Wilson
WYO,Wyoming
XAV,Xavier
YALE,Yale
YSU,Youngstown St
